region,product,price,predicted_demand
NE,ORA,1,958.288356260303
NE,ORA,1.01,938.865556222275
NE,ORA,1.02,920.01121007661
NE,ORA,1.03,901.703349462148
NE,ORA,1.04,883.921057086171
NE,ORA,1.05,866.644406951235
NE,ORA,1.06,849.854408510498
NE,ORA,1.07,833.532954459234
NE,ORA,1.08,817.662771894447
NE,ORA,1.09,802.227376596509
NE,ORA,1.1,787.211030206831
NE,ORA,1.11,772.598700093777
NE,ORA,1.12,758.376021715675
NE,ORA,1.13,744.529263304932
NE,ORA,1.14,731.045292711077
NE,ORA,1.15,717.911546253223
NE,ORA,1.16,705.115999443953
NE,ORA,1.17,692.647139457231
NE,ORA,1.18,680.493939222599
NE,ORA,1.19,668.645833036801
NE,ORA,1.2,657.092693592086
NE,ORA,1.21,645.824810327928
NE,ORA,1.22,634.832869019724
NE,ORA,1.23,624.10793252437
NE,ORA,1.24,613.641422608354
NE,ORA,1.25,603.425102789386
NE,ORA,1.26,593.451062127456
NE,ORA,1.27,583.711699905764
NE,ORA,1.28,574.199711146111
NE,ORA,1.29,564.908072907212
NE,ORA,1.3,555.830031317941
NE,ORA,1.31,546.959089300783
NE,ORA,1.32,538.288994943842
NE,ORA,1.33,529.813730482531
NE,ORA,1.34,521.527501854686
NE,ORA,1.35,513.424728795238
NE,ORA,1.36,505.500035438848
NE,ORA,1.37,497.74824140092
NE,ORA,1.38,490.164353309392
NE,ORA,1.39,482.743556761425
NE,ORA,1.4,475.481208680824
NE,ORA,1.41,468.372830053521
NE,ORA,1.42,461.414099019896
NE,ORA,1.43,454.600844304053
NE,ORA,1.44,447.92903896138
NE,ORA,1.45,441.394794426922
NE,ORA,1.46,434.994354848101
NE,ORA,1.47,428.724091686402
NE,ORA,1.48,422.580498573503
NE,ORA,1.49,416.560186408262
NE,ORA,1.5,410.659878681727
NE,ORA,1.51,404.876407018163
NE,ORA,1.52,399.206706920735
NE,ORA,1.53,393.647813711197
NE,ORA,1.54,388.196858653542
NE,ORA,1.55,382.851065252139
NE,ORA,1.56,377.607745715446
NE,ORA,1.57,372.464297576892
NE,ORA,1.58,367.41820046498
NE,ORA,1.59,362.467013015147
NE,ORA,1.6,357.608369916303
NE,ORA,1.61,352.839979085375
NE,ORA,1.62,348.159618963569
NE,ORA,1.63,343.565135928376
NE,ORA,1.64,339.054441815712
NE,ORA,1.65,334.625511546851
NE,ORA,1.66,330.276380855126
NE,ORA,1.67,326.005144107639
NE,ORA,1.68,321.809952217448
NE,ORA,1.69,317.689010641988
NE,ORA,1.7,313.640577463654
NE,ORA,1.71,309.662961548738
NE,ORA,1.72,305.754520781061
NE,ORA,1.73,301.913660366882
NE,ORA,1.74,298.138831207794
NE,ORA,1.75,294.428528338519
NE,ORA,1.76,290.781289426665
NE,ORA,1.77,287.195693331636
NE,ORA,1.78,283.670358720065
NE,ORA,1.79,280.203942735229
NE,ORA,1.8,276.795139718075
NE,ORA,1.81,273.442679977566
NE,ORA,1.82,270.14532860819
NE,ORA,1.83,266.901884352581
NE,ORA,1.84,263.711178507287
NE,ORA,1.85,260.572073869834
NE,ORA,1.86,257.483463725306
NE,ORA,1.87,254.444270870757
NE,ORA,1.88,251.45344667586
NE,ORA,1.89,248.50997017824
NE,ORA,1.9,245.612847212062
NE,ORA,1.91,242.761109568467
NE,ORA,1.92,239.953814186531
NE,ORA,1.93,237.190042373501
NE,ORA,1.94,234.468899053088
NE,ORA,1.95,231.789512040678
NE,ORA,1.96,229.151031344355
NE,ORA,1.97,226.55262849071
NE,ORA,1.98,223.993495874411
NE,ORA,1.99,221.472846130605
NE,ORA,2,218.989911529226
NE,ORA,2.01,216.543943390342
NE,ORA,2.02,214.134211519719
NE,ORA,2.03,211.760003663793
NE,ORA,2.04,209.420624983302
NE,ORA,2.05,207.115397544848
NE,ORA,2.06,204.843659829687
NE,ORA,2.07,202.6047662591
NE,ORA,2.08,200.398086735693
NE,ORA,2.09,198.22300620002
NE,ORA,2.1,196.078924201959
NE,ORA,2.11,193.965254486263
NE,ORA,2.12,191.881424591774
NE,ORA,2.13,189.826875463769
NE,ORA,2.14,187.801061078958
NE,ORA,2.15,185.803448082671
NE,ORA,2.16,183.833515437761
NE,ORA,2.17,181.890754084822
NE,ORA,2.18,179.974666613277
NE,ORA,2.19,178.084766942971
NE,ORA,2.2,176.220580015857
NE,ORA,2.21,174.381641497439
NE,ORA,2.22,172.567497487594
NE,ORA,2.23,170.777704240463
NE,ORA,2.24,169.011827893069
NE,ORA,2.25,167.26944420236
NE,ORA,2.26,165.550138290383
NE,ORA,2.27,163.85350439729
NE,ORA,2.28,162.179145641919
NE,ORA,2.29,160.526673789675
NE,ORA,2.3,158.895709027456
NE,ORA,2.31,157.285879745389
NE,ORA,2.32,155.696822325138
NE,ORA,2.33,154.128180934554
NE,ORA,2.34,152.579607328458
NE,ORA,2.35,151.050760655342
NE,ORA,2.36,149.541307269799
NE,ORA,2.37,148.050920550472
NE,ORA,2.38,146.57928072335
NE,ORA,2.39,145.12607469023
NE,ORA,2.4,143.690995862171
NE,ORA,2.41,142.273743997775
NE,ORA,2.42,140.874025046132
NE,ORA,2.43,139.49155099429
NE,ORA,2.44,138.126039719081
NE,ORA,2.45,136.777214843179
NE,ORA,2.46,135.444805595242
NE,ORA,2.47,134.128546674012
NE,ORA,2.48,132.828178116238
NE,ORA,2.49,131.543445168315
NE,ORA,2.5,130.274098161496
NE,ORA,2.51,129.01989239059
NE,ORA,2.52,127.780587996014
NE,ORA,2.53,126.555949849105
NE,ORA,2.54,125.345747440591
NE,ORA,2.55,124.149754772105
NE,ORA,2.56,122.967750250677
NE,ORA,2.57,121.799516586078
NE,ORA,2.58,120.644840690953
NE,ORA,2.59,119.503513583646
NE,ORA,2.6,118.375330293635
NE,ORA,2.61,117.260089769501
NE,ORA,2.62,116.157594789346
NE,ORA,2.63,115.067651873596
NE,ORA,2.64,113.99007120011
NE,ORA,2.65,112.924666521527
NE,ORA,2.66,111.871255084783
NE,ORA,2.67,110.829657552732
NE,ORA,2.68,109.799697927821
NE,ORA,2.69,108.781203477732
NE,ORA,2.7,107.774004662959
NE,ORA,2.71,106.777935066251
NE,ORA,2.72,105.792831323862
NE,ORA,2.73,104.818533058566
NE,ORA,2.74,103.85488281438
NE,ORA,2.75,102.901725992941
NE,ORA,2.76,101.958910791498
NE,ORA,2.77,101.026288142467
NE,ORA,2.78,100.103711654506
NE,ORA,2.79,99.1910375550616
NE,ORA,2.8,98.2881246343558
NE,ORA,2.81,97.394834190761
NE,ORA,2.82,96.51102997753
NE,ORA,2.83,95.6365781508417
NE,ORA,2.84,94.7713472191239
NE,ORA,2.85,93.9152079936201
NE,ORA,2.86,93.0680335401629
NE,ORA,2.87,92.2296991321222
NE,ORA,2.88,91.4000822044949
NE,ORA,2.89,90.5790623091044
NE,ORA,2.9,89.7665210708803
NE,ORA,2.91,88.9623421451872
NE,ORA,2.92,88.1664111761751
NE,ORA,2.93,87.3786157561234
NE,ORA,2.94,86.5988453857502
NE,ORA,2.95,85.8269914354636
NE,ORA,2.96,85.0629471075257
NE,ORA,2.97,84.3066073991085
NE,ORA,2.98,83.5578690662153
NE,ORA,2.99,82.8166305884458
NE,ORA,3,82.0827921345816
NE,ORA,3.01,81.3562555289708
NE,ORA,3.02,80.6369242186906
NE,ORA,3.03,79.9247032414673
NE,ORA,3.04,79.2194991943335
NE,ORA,3.05,78.5212202030037
NE,ORA,3.06,77.8297758919491
NE,ORA,3.07,77.145077355154
NE,ORA,3.08,76.4670371275353
NE,ORA,3.09,75.7955691570087
NE,ORA,3.1,75.1305887771845
NE,ORA,3.11,74.4720126806769
NE,ORA,3.12,73.8197588930114
NE,ORA,3.13,73.1737467471148
NE,ORA,3.14,72.5338968583728
NE,ORA,3.15,71.9001311002408
NE,ORA,3.16,71.2723725803947
NE,ORA,3.17,70.6505456174072
NE,ORA,3.18,70.0345757179365
